text,username,location,len
"RT @djnicholl: Show us proof that Johnson is following science, MPs urge 

https://t.co/aN9ofVaQBV",horatioharry,"Dereham, Norfolk",98
Why people think 5G responsible for coronavirus https://t.co/jloVJuO0G0 via @YouTube,Nerdstudiosja1,"SAN JOSE, CA",84
"Yesterday I was walking along a pier of the #Amsterdam Oude Houthaven when an angry houseboat resident invited me leave as ""they don't like walkers due to the #coronavirus"" WTF...",umbertourso,Amsterdam,179
RT @WyeLea: The coronavirus crisis must not be allowed to delay Brexit https://t.co/4n6mip2MVg,trickyd90556041,"Islington, London",94
"#N4P #C4XD #IQAI 
Coronavirus: Moderna’s US vaccine first trials show immune response https://t.co/2vy25EMqEY",smallcappick,United Kingdom,109
"@HeshmatAlavi China knew what they were doing as soon as President Trump signed those papers. China will fulfill their deal as long as no pandemic happens. TWO days later &amp; here is Coronavirus knocking at our doors! Sue them, I say.",oneilbrenda65,"Las Vegas, NV",236
"RT @jonworth: Even by Brexit standards, England’s handling of its Coronavirus response is inept",VeniceLaura,"UK / Venice, Italy",95
"RT @ClimateReality: 'We’re running out of time to flatten the curve — for climate change'   
https://t.co/9bUJzYygKZ",TPSpencer88,"Limerick, Ireland & Bristol",116
HSE encourages ‘social bubble’ https://t.co/0oIkLBSzi7,msnireland,Ireland,54
"RT @BBCScotlandNews: Four residents die at an Aberdeenshire care home after contracting #coronavirus
https://t.co/Jrk4d4a2uq",Fionasstalker,Aberdeen,124
"We have begun the dreaded third quarter of isolation, when — yes — things get weird https://t.co/rv0R2sO9z1",CmtyActionMarin,"San Rafael, CA",107
RT @fatnerdsloveme: the coronavirus wipes out all the men in the valley...just a thought,fatnerdsloveme,"Coachella, CA",88
"RT @BBCScotlandNews: Four residents die at an Aberdeenshire care home after contracting #coronavirus
https://t.co/Jrk4d4a2uq",kenkenzobanks,"Aberdeen, Scotland",124
RT @LisaBaumann: BREAKING (AP): Judge tosses out Oregon's coronavirus restrictions,SwedeUSPatriot,Northern Europe.,82
"RT @prempanicker: @Aaabshar Yeah I saw this, thanks. Was my point actually. No one ever saw these:

https://t.co/1jwattFFP2",ashrarrrrrr01,Faani,123
RT @AJENews: Top tennis stars pitch in for Pakistan coronavirus relief efforts https://t.co/lvWG1oVXvj https://t.co/BwBm11lgeO,mfnid,Indonesia 🇮🇩,126
"RT @Pumpkinz16: No government could have been completely ready for the pandemic, but taking the public for fools has destroyed all trust…",KrisGibson13,Somerset UK,137
RT @washingtonpost: Opinion: Trump is using the coronavirus as a cover to abuse his authority https://t.co/BM331nIelg,BrendaPriddy,BrendaPriddyAndCompany.com,117
"Plotting stringency of measures and confirmed COVID-19 cases per capita (10.000) clearly shows the difference between countries
https://t.co/A4AdS35P53
https://t.co/6JTZPDYnPt https://t.co/V6EL6qba6h",Meyerink,The Netherlands,199
RT @CRTejada: Poor Countries Borrowed Billions from China. They Can’t Pay It Back. https://t.co/PE9ryLqYqn,CakSchalker,"Kota Surabaya, Jawa Timur",106
"@politicalmath Right you are. If Ohio had been as creative with its numbers as georgia, pulling dates out of sequence so it could show a downward trend of Coronaviruses, it too could be a model! https://t.co/yQyDxQeBOb https://t.co/BhHU9U6bIj",WillettsMagazi1,"Paris, France",242
RT @Independent: Ricky Gervais wants celebrities banned from New Year’s Honours list in favour of NHS workers https://t.co/Pl8ZGqWtzX,alan_ludlow,Upminster,133
"Meeting up with people might spread the virus. Total shocker🤪
https://t.co/Bm6eIDYDva",Ediscoverycloud,Crete • Paris • NYC,85
"The Salvation Army is rattling the can online, determined to reinvent its biggest fundraiser for the year, amid isolation. | @TiffWarne #coronavirus #COVID19 https://t.co/xwdlEvwHVD",10NewsFirstAdl,"Adelaide, South Australia",181
@jack_sommers @lorraine @jack_sommers just watching you on @Lorraine on ITV1 and want to send you lots of good luck and love. Here's hoping all goes well for you with the vaccine tests and that you keep well and safe #coronavirus #covid19UK #brave #CourageisBeautiful #BlessYourHeart #Goodluck,JackandSallys,Pickering North Yorkshire,293
New Zealand adopts interesting compromise for coronavirus location-tracking https://t.co/Rkordc9giT via @benlovejoy,kennethmac2000,London,115
RT @RoseUnwin: Coronavirus tests denied to people with learning disabilities despite 175% rise in their deaths https://t.co/cMf0fR082n,Linds54,Middle England,134
"If this is treu about #coronavirus
...very very scary! Or fake?

https://t.co/BfecHoaa79",adrichemmen,Westland the Netherlands,88
Maybe frozen wood frogs is the cure for this coronavirus https://t.co/7Kz15PhKqY,pimp_potion,"San Jose, CA",80
India: overtakes China .. is new coronavirus epicentre in Asia Pacific • lockdown failing reportedly due to unscientific implementation | May 19 2020 https://t.co/Hx2zlTiOwi https://t.co/QoP2gVXBvb,redball2,K J Hyett | Sydney | Australia,197
Why I’m ready to start traveling again soon https://t.co/YAOo3A6fhb,wallabycard,"Pasadena, CA",67
"An experimental coronavirus vaccine will go into production at a  “rapid deployment facility” before clinical trials have established whether the vaccines are safe &amp; protect against the infection https://t.co/UbfERlvFZt
It would allow manufacture to begin “at scale” this summer",DecipherAnalyt2,"Edinburgh, Scotland",282
"Employers will be able to make their claims through a new online service from May 26
https://t.co/fjZB64YMIR https://t.co/H6Cafdft8h",OldhamChronicle,"Oldham, England",132
@SabraLane @msbfitzgerald Why didn't your report on China's barley tariff penalty explore Morrison's anti-China rhetoric as the likely cause? Morrison has sacrificed our national interest to support Trump's re-election strategy - https://t.co/a3SpngfHcJ #auspol,Plinyone,Via Gallia Narbonensis,261
"RT @ZeeNewsEnglish: From 100 to 100,000, it took 64 days for coronavirus COVID-19 to touch 1 lakh mark in India
https://t.co/VXmaAeKK9E",sarvadev313,"Maharashtra, India",135
"The Philippine private sector has so far accounted for 66% of the coronavirus testing capacity of the country.

Meanwhile, the government accounted for only 34% of the total tests conducted.

Data from Coronavirus Plan Deputy Chief Implementor Vivencio Dizon, as of May 14 2020. https://t.co/djYznPJ3Uw",ViktorCabuenas,MNL,302
@NixZielinski @DC_Draino That's probably a symptom of coronavirus:),Wysiwyg95660108,Ireland,67
